id,edge1_id,edge2_id,node1_id,node2_id,capacity
0,0,1,0,1,50000000000
1,2,3,2,1,50000000000
2,4,5,2,1,50000000000
3,6,7,3,2,50000001000
4,8,9,2,4,49999999000
5,10,11,2,5,49999999000
6,12,13,2,6,49999999000
7,14,15,7,8,50000001000
8,16,17,9,10,50000001000
9,18,19,9,10,50000001000
10,20,21,11,4,49999999000
11,22,23,8,12,50000001000
12,24,25,10,8,49999999000
13,26,27,13,10,49999999000
14,28,29,6,4,49999999000
15,30,31,14,15,49999998000
16,32,33,16,15,50000003000
17,34,35,2,17,49999998000
18,36,37,16,18,49999999000
19,38,39,2,19,49999999000
20,40,41,20,21,50000001000
21,42,43,22,23,50000000000
22,44,45,16,24,50000002000
23,46,47,3,25,49999999000
24,48,49,26,10,49999998000
25,50,51,27,28,49999999000
26,52,53,29,8,50000001000
27,54,55,27,25,49999998000
28,56,57,30,22,49999999000
29,58,59,3,31,50000001000
30,60,61,8,32,50000000000
31,62,63,10,32,50000001000
32,64,65,3,32,49999999000
33,66,67,24,32,50000001000
34,68,69,33,32,50000000000
35,70,71,2,34,50000002000
36,72,73,24,35,50000000000
37,74,75,36,4,49999998000
38,76,77,37,33,49999998000
39,78,79,38,4,50000000000
40,80,81,33,39,50000000000
41,82,83,21,40,50000002000
42,84,85,41,40,50000001000
43,86,87,42,43,49999998000
44,88,89,44,40,50000000000
45,90,91,8,45,49999999000
46,92,93,33,40,49999999000
47,94,95,43,39,49999999000
48,96,97,22,39,50000000000
49,98,99,46,6,49999999000
50,100,101,100,2,50000000000
51,102,103,100,24,50000000000
52,104,105,100,0,49999999000
53,106,107,100,10,49999998000
54,108,109,100,37,50000000000
55,110,111,100,1,50000001000
56,112,113,100,3,50000000000
57,114,115,100,14,50000002000
58,116,117,100,32,50000000000
59,118,119,100,1,50000000000
60,120,121,101,40,50000001000
61,122,123,101,2,50000000000
62,124,125,101,1,50000001000
63,126,127,101,10,49999999000
64,128,129,101,2,49999998000
65,130,131,101,1,49999998000
66,132,133,101,39,50000000000
67,134,135,101,8,50000002000
68,136,137,101,26,50000000000
69,138,139,101,31,50000000000
70,140,141,102,15,50000000000
71,142,143,102,8,50000000000
72,144,145,102,100,49999999000
73,146,147,102,100,50000000000
74,148,149,102,39,50000001000
75,150,151,102,32,49999999000
76,152,153,102,16,49999998000
77,154,155,102,101,49999999000
78,156,157,102,100,50000000000
79,158,159,102,36,49999997000
80,160,161,103,20,49999998000
81,162,163,103,2,49999999000
82,164,165,103,100,49999999000
83,166,167,103,6,49999999000
84,168,169,103,101,50000000000
85,170,171,103,10,49999999000
86,172,173,103,4,49999998000
87,174,175,103,102,49999997000
88,176,177,103,22,50000000000
89,178,179,103,2,49999998000
90,180,181,104,30,50000000000
91,182,183,104,101,50000000000
92,184,185,104,20,49999998000
93,186,187,104,33,49999999000
94,188,189,104,101,50000000000
95,190,191,104,35,49999998000
96,192,193,104,100,50000000000
97,194,195,104,101,50000000000
98,196,197,104,103,49999999000
99,198,199,104,100,49999999000
100,200,201,105,1,50000000000
101,202,203,105,35,49999999000
102,204,205,105,101,49999999000
103,206,207,105,0,49999999000
104,208,209,105,6,49999998000
105,210,211,105,24,49999999000
106,212,213,105,103,50000001000
107,214,215,105,36,49999998000
108,216,217,105,24,50000000000
109,218,219,105,33,50000000000
110,220,221,106,103,49999999000
111,222,223,106,4,50000000000
112,224,225,106,100,50000000000
113,226,227,106,8,50000001000
114,228,229,106,1,50000000000
115,230,231,106,100,49999999000
116,232,233,106,10,49999998000
117,234,235,106,102,50000000000
118,236,237,106,33,50000000000
119,238,239,106,39,49999999000
120,240,241,107,16,49999999000
121,242,243,107,22,50000001000
122,244,245,107,2,50000000000
123,246,247,107,3,50000001000
124,248,249,107,102,49999998000
125,250,251,107,101,50000000000
126,252,253,107,2,49999999000
127,254,255,107,43,50000000000
128,256,257,107,8,50000000000
129,258,259,107,19,50000000000
130,260,261,108,25,49999998000
131,262,263,108,12,50000001000
132,264,265,108,2,49999999000
133,266,267,108,2,50000001000
134,268,269,108,39,49999999000
135,270,271,108,101,49999999000
136,272,273,108,102,50000001000
137,274,275,108,2,49999999000
138,276,277,108,106,50000001000
139,278,279,108,100,50000000000
140,280,281,109,10,50000002000
141,282,283,109,107,49999999000
142,284,285,109,100,49999999000
143,286,287,109,39,49999999000
144,288,289,109,105,50000002000
145,290,291,109,1,49999999000
146,292,293,109,103,50000000000
147,294,295,109,2,49999998000
148,296,297,109,3,50000000000
149,298,299,109,105,49999998000
150,300,301,110,101,50000000000
151,302,303,110,6,49999999000
152,304,305,110,33,49999996000
153,306,307,110,33,50000002000
154,308,309,110,2,50000001000
155,310,311,110,109,49999999000
156,312,313,110,2,50000000000
157,314,315,110,108,50000000000
158,316,317,110,101,50000000000
159,318,319,110,38,49999998000
160,320,321,111,105,49999999000
161,322,323,111,101,49999999000
162,324,325,111,105,49999998000
163,326,327,111,33,50000001000
164,328,329,111,106,49999998000
165,330,331,111,8,49999999000
166,332,333,111,106,50000000000
167,334,335,111,43,50000000000
168,336,337,111,100,49999999000
169,338,339,111,105,49999999000
170,340,341,112,109,50000000000
171,342,343,112,108,50000000000
172,344,345,112,2,50000000000
173,346,347,112,4,50000000000
174,348,349,112,100,49999999000
175,350,351,112,101,49999998000
176,352,353,112,105,50000000000
177,354,355,112,110,49999998000
178,356,357,112,8,50000000000
179,358,359,112,105,50000000000
180,360,361,113,103,50000000000
181,362,363,113,5,50000000000
182,364,365,113,39,50000000000
183,366,367,113,105,50000001000
184,368,369,113,40,49999998000
185,370,371,113,36,49999999000
186,372,373,113,33,50000000000
187,374,375,113,100,50000001000
188,376,377,113,25,49999998000
189,378,379,113,12,49999999000
190,380,381,114,36,49999998000
191,382,383,114,2,49999999000
192,384,385,114,112,50000000000
193,386,387,114,1,50000000000
194,388,389,114,112,49999999000
195,390,391,114,111,50000000000
196,392,393,114,113,49999999000
197,394,395,114,6,50000000000
198,396,397,114,16,49999999000
199,398,399,114,44,50000000000
200,400,401,115,37,49999998000
201,402,403,115,109,49999998000
202,404,405,115,43,49999998000
203,406,407,115,38,50000000000
204,408,409,115,108,49999999000
205,410,411,115,104,50000001000
206,412,413,115,114,49999998000
207,414,415,115,10,49999998000
208,416,417,115,6,50000000000
209,418,419,115,1,50000000000
210,420,421,116,110,50000001000
211,422,423,116,37,50000000000
212,424,425,116,101,50000000000
213,426,427,116,114,49999999000
214,428,429,116,6,50000000000
215,430,431,116,22,49999999000
216,432,433,116,101,49999999000
217,434,435,116,40,49999998000
218,436,437,116,10,49999999000
219,438,439,116,8,49999998000
220,440,441,117,111,49999999000
221,442,443,117,103,50000002000
222,444,445,117,33,49999999000
223,446,447,117,110,49999999000
224,448,449,117,8,50000001000
225,450,451,117,115,50000000000
226,452,453,117,103,50000000000
227,454,455,117,100,50000000000
228,456,457,117,101,49999999000
229,458,459,117,110,50000001000
230,460,461,118,24,50000000000
231,462,463,118,110,49999997000
232,464,465,118,110,49999998000
233,466,467,118,100,49999998000
234,468,469,118,106,49999998000
235,470,471,118,104,50000000000
236,472,473,118,106,50000000000
237,474,475,118,10,50000000000
238,476,477,118,12,50000001000
239,478,479,118,106,50000001000
240,480,481,119,14,49999999000
241,482,483,119,116,49999998000
242,484,485,119,101,50000000000
243,486,487,119,2,50000000000
244,488,489,119,28,49999999000
245,490,491,119,46,49999998000
246,492,493,119,118,50000001000
247,494,495,119,37,49999998000
248,496,497,119,107,50000001000
249,498,499,119,113,50000000000
250,500,501,120,104,49999999000
251,502,503,120,117,49999998000
252,504,505,120,100,49999999000
253,506,507,120,38,50000001000
254,508,509,120,101,49999999000
255,510,511,120,2,49999998000
256,512,513,120,101,50000000000
257,514,515,120,10,49999999000
258,516,517,120,113,50000000000
259,518,519,120,106,49999999000
260,520,521,121,43,49999999000
261,522,523,121,10,50000000000
262,524,525,121,20,49999999000
263,526,527,121,118,49999999000
264,528,529,121,107,50000000000
265,530,531,121,109,50000000000
266,532,533,121,4,49999999000
267,534,535,121,111,50000000000
268,536,537,121,1,49999999000
269,538,539,121,117,49999998000
270,540,541,122,19,49999998000
271,542,543,122,106,49999999000
272,544,545,122,105,50000000000
273,546,547,122,43,50000000000
274,548,549,122,30,50000000000
275,550,551,122,1,50000000000
276,552,553,122,115,49999998000
277,554,555,122,106,49999998000
278,556,557,122,2,49999999000
279,558,559,122,115,49999999000
280,560,561,123,121,49999999000
281,562,563,123,108,49999998000
282,564,565,123,111,50000000000
283,566,567,123,32,50000000000
284,568,569,123,118,50000000000
285,570,571,123,9,49999998000
286,572,573,123,109,50000000000
287,574,575,123,8,49999999000
288,576,577,123,106,50000000000
289,578,579,123,116,50000000000
290,580,581,124,106,50000000000
291,582,583,124,32,49999999000
292,584,585,124,24,49999999000
293,586,587,124,25,50000000000
294,588,589,124,44,50000001000
295,590,591,124,121,50000001000
296,592,593,124,103,50000000000
297,594,595,124,3,50000001000
298,596,597,124,42,50000000000
299,598,599,124,8,50000000000
300,600,601,125,116,49999998000
301,602,603,125,122,50000000000
302,604,605,125,107,50000001000
303,606,607,125,109,49999999000
304,608,609,125,114,49999999000
305,610,611,125,10,50000000000
306,612,613,125,113,50000001000
307,614,615,125,100,49999998000
308,616,617,125,116,50000001000
309,618,619,125,102,49999999000
310,620,621,126,122,50000001000
311,622,623,126,1,49999999000
312,624,625,126,115,49999999000
