id,sender_id,receiver_id,amount,start_time
0,999,605,2000604,25
1,251,1753,1999685,152
2,406,431,2000237,208
3,2064,670,1998892,269
4,772,117,1999941,448
5,1121,294,2000527,511
6,934,1641,2000008,533
7,863,250,2000457,570
8,1740,754,2001265,637
9,1421,1512,1998523,700
10,974,1675,1999717,881
11,2073,827,2000766,912
12,506,1407,2000768,959
13,1287,356,1998415,1242
14,408,1521,1999033,1264
15,1225,1378,2000018,1272
16,149,310,1999019,1373
17,1285,1751,1999903,1474
18,741,999,1999961,1492
19,1958,940,2000038,1528
20,1727,1761,2001212,1660
21,838,1053,1999824,1781
22,275,1583,2000578,1786
23,1980,1575,1999946,1798
24,52,142,1998807,2003
25,1567,1402,1999728,2083
26,733,368,2001057,2164
27,825,1690,2001671,2419
28,1128,1891,1999154,2473
29,867,1208,2002670,2633
30,1155,1556,2000112,2779
31,99,685,2000903,2827
32,861,248,2000417,3024
33,446,1619,1999786,3086
34,1620,1158,2000298,3189
35,1859,1129,1999428,3221
36,1388,1836,2000349,3248
37,244,1295,2000838,3395
38,765,669,1999856,3596
39,2030,1630,2001971,3810
40,1965,1539,2001779,4295
41,1139,1528,1998695,4355
42,460,533,1999831,4392
43,1479,1299,1999229,4471
44,1227,1848,1999752,4976
45,86,1429,2000120,5053
46,142,548,1999798,5083
47,833,1702,1999532,5102
48,419,221,2000919,5524
49,64,416,2001055,5642
50,724,2065,2001159,5676
51,1920,1004,2000044,5721
52,2034,302,1999431,5897
53,1376,1360,1999959,6036
54,403,1366,2000154,6238
55,572,1243,2000142,6339
56,192,1691,1999652,6409
57,88,151,2000112,6460
58,2026,1553,1997982,6585
59,2014,306,1999527,6905
60,85,310,1999630,7143
61,1559,1430,1999087,7162
62,662,232,2001378,7169
63,1949,339,2000846,7322
64,797,455,2000013,7421
65,534,1096,2001331,7424
66,383,1278,1998725,7435
67,823,737,1999801,7674
68,511,1912,1999757,7786
69,1609,1033,2000288,7945
70,1375,1050,2001060,8085
71,375,265,2000439,8099
72,656,1664,1999223,8401
73,898,1956,2000370,8623
74,1340,1895,1999691,8662
75,1474,1754,1999246,8739
76,269,1743,1999996,8953
77,2049,230,2000017,8970
78,939,495,2000563,9091
79,1649,1358,2000974,9238
80,296,1991,2000518,9445
81,1962,84,1998201,9497
82,1165,271,2000092,9645
83,1268,362,2001209,9728
84,244,699,1998883,9754
85,976,2027,2001369,9785
86,31,989,2001032,9832
87,441,146,2000348,9867
88,2026,2036,2001565,9875
89,1508,322,1997968,9901
90,1036,1723,2002825,9915
91,1061,824,2001261,9961
92,334,987,2001219,10004
93,561,1142,2000703,10043
94,1720,1041,1999829,10049
95,422,720,1999329,10060
96,1307,1223,1999928,10064
97,775,445,2000290,10247
98,1062,455,1999791,10358
99,1160,746,1999741,10374
100,925,87,2000695,10495
101,2090,273,2000087,10730
102,38,1803,1998969,10897
103,2051,1094,2001211,11025
104,925,142,1999850,11054
105,227,703,1999247,11263
106,1618,1877,1999993,11366
107,1994,1113,1999814,11388
108,304,136,1999480,11453
109,2079,942,1998926,11476
110,640,1817,1999691,11595
111,1988,1202,2000736,11635
112,448,841,2000319,11638
113,171,342,1999840,11699
114,472,2070,2001331,11744
115,1338,1226,2001075,11762
116,800,1059,2000093,11952
117,1338,1793,2000598,12531
118,210,1375,2000562,12591
119,154,697,2001864,12594
120,2077,1560,2000481,12632
121,162,1115,2000009,12842
122,1085,1207,1997502,12870
123,311,1328,2000084,12896
124,1493,230,1999922,12933
125,1502,780,1999835,13000
126,2024,1592,1999544,13178
127,918,894,2000623,13469
128,576,1017,1999918,13552
129,1516,389,1999444,13571
130,145,1063,2000609,13601
131,1305,2078,2000062,13604
132,137,174,1998846,13639
133,1196,421,2001626,13716
134,160,1533,1998495,14030
135,305,222,1999897,14224
136,1972,1495,1999914,14244
137,585,196,1999492,14308
138,833,17,2000332,14423
139,1090,448,1999712,14499
140,1736,836,1999757,14527
141,806,1498,1998374,14636
142,784,235,2000052,14951
143,1472,1873,1998482,14965
144,1590,1121,1998880,14965
145,1336,765,1999894,14985
146,1464,1101,2000119,15005
147,1023,1316,2000511,15056
148,441,331,1999478,15104
149,300,1338,2000868,15107
150,782,885,1998832,15130
151,1140,1265,1999473,15175
152,1371,1037,1999973,15220
153,2048,467,2000241,15390
154,145,1156,1999582,15632
155,866,443,2000032,15718
156,1597,486,2000360,15830
157,1797,166,2000388,15866
158,1137,1072,2000535,16190
159,600,869,2000284,16190
160,738,593,1999949,16494
161,1753,1432,2001061,16591
162,685,1938,1999235,16636
163,305,1074,1999608,16743
164,709,1220,1998838,16821
165,1562,918,2000369,16852
166,4,899,2000326,16907
167,1685,679,1999593,16991
168,1631,826,2001991,17169
169,156,442,1997869,17365
170,1995,48,1999460,17825
171,517,1743,1999694,17837
172,1962,556,2002790,17923
173,1803,1136,1998708,17955
174,632,793,1999697,18066
175,319,1155,1999442,18099
176,1214,1007,2001570,18111
177,250,326,1999686,18217
178,890,198,1999498,18287
179,411,962,1999534,18360
180,1458,1473,1999038,18432
181,717,1017,1998058,18439
182,1521,180,1999558,18947
183,1259,1865,1999862,19047
184,612,20,2000505,19067
185,1428,1904,1999113,19096
186,406,1377,1999907,19274
187,1180,1288,1998162,19436
188,1653,1248,2000949,19548
189,1100,1778,2002014,19677
190,1349,230,1999267,19681
191,2099,1008,1999588,19793
192,1745,874,2001042,20129
193,869,2003,2000148,20188
194,1190,943,2000283,20240
195,55,1300,1999505,20315
196,116,995,1998758,20361
197,1211,1435,2000253,20574
198,1998,619,2000897,20644
199,761,377,1999180,20747
200,997,344,1999989,20756
201,1854,968,1998980,20790
202,896,324,1999209,20824
203,1796,770,2001800,20858
204,1196,469,2000387,21026
205,454,152,2001111,21066
206,1148,245,2000492,21193
207,262,1131,2000281,21471
208,346,955,1999009,21505
209,1229,1573,1999751,21809
210,2013,1965,2000191,21840
211,838,434,2001487,21840
212,839,1306,1999359,21996
213,19,1611,1999549,22021
214,601,1675,2000219,22025
215,222,249,2001583,22087
216,1439,1430,2001183,22104
217,1988,1050,2000445,22133
218,1328,1232,1998460,22434
219,1681,308,1999958,22439
220,1197,710,2000435,22448
221,1850,1029,1998183,22458
222,815,1241,2000424,22494
223,351,1585,2000481,22600
224,1010,742,2000603,22610
225,421,1832,2000469,22618
226,1701,975,1999728,22703
227,446,29,2000167,22777
228,1990,238,1999880,22801
229,965,270,2000197,22808
230,1304,37,1998734,22837
231,597,979,2000683,22881
232,437,600,2000274,22971
233,921,1963,2000314,23146
234,1663,1250,2001331,23165
235,1816,1263,2001615,23195
236,750,1190,2000236,23202
237,462,267,1999448,23260
238,170,280,2000667,23322
239,1780,941,1999772,23473
240,708,331,2000979,23496
241,2061,1013,2001272,23560
242,1790,799,1999735,23728
243,431,1139,2000171,23891
244,603,171,2000230,23916
245,186,590,1998269,24074
246,788,1674,2000436,24168
247,4,201,2000322,24289
248,1013,1560,2000974,24365
249,2093,1472,2000063,24474
250,1266,123,1999549,24475
251,1049,1026,1999979,24647
252,1977,1726,1999485,24648
253,1099,442,1998934,24765
254,209,67,2000613,24783
255,971,200,1999431,24898
256,1740,593,2000102,24974
257,1645,1584,1999047,25067
258,263,694,1999383,25163
259,1487,1344,1999446,25218
260,1560,1623,1998914,25416
261,128,1597,1997970,25590
262,258,1117,2000335,25655
263,553,427,2000948,25733
264,764,378,1999553,25803
265,264,665,1999764,25813
266,1317,457,1998563,26279
267,1186,1212,2001822,26453
268,881,1919,1997595,26453
269,892,1383,2000671,26482
270,1840,2069,1999367,26492
271,434,1442,1999050,26507
272,1883,1296,2001194,26543
273,793,1577,2000191,26565
274,1960,1621,2001548,26566
275,2021,890,1999986,26647
276,1277,781,2000800,26759
277,178,1316,1998720,26799
278,1130,948,2000715,26895
279,1318,1577,2000801,27040
280,1672,1236,1999913,27375
281,2080,641,1999057,27563
282,1035,1250,1999478,27768
283,1319,401,2000130,28110
284,86,1216,2001807,28186
285,1320,762,2001371,28187
286,1692,446,1999346,28252
287,1725,536,1998665,28265
288,906,490,1998962,28481
289,618,97,1999999,28489
290,2004,1896,1999012,28670
291,2047,1542,2000463,28771
292,2031,1149,2000979,28780
293,1081,1193,2000530,28801
294,934,1305,2000277,28809
295,1804,631,2000917,28828
296,616,1020,2000613,28855
297,2041,1912,2000584,28946
298,269,1768,1999534,29205
299,708,1370,1999728,29292
300,989,1304,1999636,29295
301,1945,1754,1999367,29470
302,1428,1098,1997712,29614
303,141,677,2001843,29623
304,1529,449,1999602,29992
305,124,1736,1999359,30086
306,1705,835,1999863,30154
307,655,173,1998897,30253
308,1605,245,2000060,30808
309,78,2038,1999818,31064
310,1717,551,1998729,31157
311,766,487,1999885,31207
312,2015,1849,2000827,31326
313,440,1238,2000612,31410
314,581,1813,1998023,31503
315,928,2089,1999611,31672
316,369,685,2001874,31749
317,1455,333,1999672,31817
318,1631,908,1999812,31875
319,1740,1853,2000300,32279
320,861,189,2001140,32282
321,1180,462,1999457,32291
322,1822,1743,2001007,32377
323,1690,789,2000327,32391
324,1201,624,2002770,32761
325,285,1267,1998905,32925
326,1750,1729,1998422,32978
327,520,339,1998885,33114
328,695,812,1999168,33259
329,1299,1050,1999999,33482
330,1551,1939,2002215,33544
331,1388,1112,1999712,33703
332,362,177,2001392,33717
333,131,430,2000651,33762
334,1545,1987,2001563,33892
335,447,822,1999993,33987
336,1334,1694,2000578,34030
337,1265,1669,1999532,34119
338,517,1376,1999651,34293
339,1597,454,2000179,34366
340,1709,408,2000268,34371
