id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,0,1,25000000000,1000,2,0,37
1,0,0,1,0,25000000000,1587,3,10,18
2,1,3,2,1,24999999000,2382,7,0,45
3,1,2,1,2,25000000000,3155,8,10,47
4,2,5,2,1,25000000000,1817,4,0,89
5,2,4,1,2,25000000000,1109,5,0,70
6,3,7,3,2,24999999000,3234,4,0,22
7,3,6,2,3,24999999000,1792,8,0,82
8,4,9,2,4,24999999000,3769,5,0,88
9,4,8,4,2,25000000000,4578,8,0,17
10,5,11,2,5,25000000000,1393,6,0,47
11,5,10,5,2,25000000000,4831,4,0,57
12,6,13,2,6,24999999000,2262,2,1000,71
13,6,12,6,2,24999999000,4338,4,0,11
14,7,15,7,8,25000000000,4955,6,10,77
15,7,14,8,7,25000000000,2121,5,0,81
16,8,17,9,10,24999999000,4634,1,0,36
17,8,16,10,9,24999999000,2151,2,100,21
18,9,19,9,10,25000000000,1846,9,10,33
19,9,18,10,9,25000000000,2966,6,0,14
20,10,21,11,4,25000000000,1586,9,10,63
21,10,20,4,11,25000001000,3799,3,100,19
22,11,23,8,12,25000000000,3777,5,100,47
23,11,22,12,8,25000000000,1199,7,0,58
24,12,25,10,8,24999999000,3059,8,0,95
25,12,24,8,10,25000000000,3346,8,100,91
26,13,27,13,10,24999999000,1557,9,10,82
27,13,26,10,13,25000000000,2590,5,0,24
28,14,29,6,4,24999999000,2391,6,0,77
29,14,28,4,6,25000000000,3903,2,0,89
30,15,31,14,15,25000000000,4003,4,1000,41
31,15,30,15,14,25000001000,2079,4,1000,90
32,16,33,16,15,25000000000,4859,1,0,69
33,16,32,15,16,25000000000,3486,1,1000,20
34,17,35,2,17,24999998000,3313,9,10,46
35,17,34,17,2,24999999000,1948,7,1000,91
36,18,37,16,18,24999999000,1011,7,0,65
37,18,36,18,16,24999999000,2306,6,0,57
38,19,39,2,19,25000000000,2429,5,1000,91
39,19,38,19,2,25000000000,3493,5,10,11
40,20,41,20,21,25000000000,4989,1,0,25
41,20,40,21,20,25000000000,1548,7,0,93
42,21,43,22,23,24999999000,1264,3,100,77
43,21,42,23,22,25000000000,4015,2,0,93
44,22,45,16,24,25000000000,1497,2,10,11
45,22,44,24,16,25000000000,1104,1,100,12
46,23,47,3,25,24999999000,4440,3,0,58
47,23,46,25,3,25000000000,3211,9,10,85
48,24,49,26,10,24999999000,2116,1,0,62
49,24,48,10,26,25000000000,4878,4,10,60
50,25,51,27,28,24999999000,1931,7,0,82
51,25,50,28,27,25000000000,2551,4,1000,87
52,26,53,29,8,24999999000,3224,4,10,22
53,26,52,8,29,25000000000,1239,2,0,20
54,27,55,27,25,25000000000,1902,6,0,74
55,27,54,25,27,25000000000,3238,6,0,11
56,28,57,30,22,24999999000,4869,4,10,61
57,28,56,22,30,25000000000,1813,1,0,32
58,29,59,3,31,24999999000,1781,9,10,62
59,29,58,31,3,25000000000,4880,1,0,86
60,30,61,8,32,24999999000,2975,2,0,65
61,30,60,32,8,25000000000,4315,9,1000,24
62,31,63,10,32,25000000000,3425,7,0,61
63,31,62,32,10,25000001000,2269,5,0,98
64,32,65,3,32,24999999000,2520,5,0,59
65,32,64,32,3,24999999000,3981,9,0,70
66,33,67,24,32,24999999000,1265,7,0,43
67,33,66,32,24,25000000000,3518,1,0,28
68,34,69,33,32,24999999000,1266,4,0,33
69,34,68,32,33,25000000000,4219,2,0,27
70,35,71,2,34,25000000000,3098,8,0,93
71,35,70,34,2,25000001000,2053,3,0,15
72,36,73,24,35,25000000000,4088,7,0,91
73,36,72,35,24,25000000000,4727,7,10,11
74,37,75,36,4,25000000000,3467,7,10,95
75,37,74,4,36,25000000000,4800,9,0,60
76,38,77,37,33,25000000000,2560,3,0,53
77,38,76,33,37,25000000000,3417,1,0,59
78,39,79,38,4,24999999000,2579,6,0,96
79,39,78,4,38,25000000000,1695,4,0,21
80,40,81,33,39,25000000000,3022,1,0,11
81,40,80,39,33,25000000000,4791,9,10,84
82,41,83,21,40,24999999000,1704,1,100,39
83,41,82,40,21,25000000000,1523,8,100,82
84,42,85,41,40,24999999000,4760,4,0,62
85,42,84,40,41,24999999000,4515,3,0,86
86,43,87,42,43,24999998000,3185,4,0,81
87,43,86,43,42,24999999000,2142,2,0,54
88,44,89,44,40,24999999000,1062,9,0,63
89,44,88,40,44,24999999000,2734,3,0,82
90,45,91,8,45,24999999000,4571,8,100,62
91,45,90,45,8,24999999000,1736,2,0,80
92,46,93,33,40,24999999000,1215,1,0,47
93,46,92,40,33,25000000000,3716,4,0,92
94,47,95,43,39,24999999000,4895,1,0,64
95,47,94,39,43,24999999000,4315,2,10,61
96,48,97,22,39,24999999000,2142,7,0,62
97,48,96,39,22,24999999000,4000,1,0,87
98,49,99,46,6,25000000000,3792,9,0,87
99,49,98,6,46,25000000000,2290,3,0,70
100,50,101,100,45,24999999000,1960,4,10,12
101,50,100,45,100,24999999000,3126,3,0,21
102,51,103,100,3,24999999000,4895,4,0,71
103,51,102,3,100,24999999000,1794,3,0,48
104,52,105,100,34,25000000000,1127,8,0,94
105,52,104,34,100,25000000000,4128,6,10,56
106,53,107,100,1,24999999000,4419,5,0,57
107,53,106,1,100,25000000000,4208,2,0,61
108,54,109,100,10,25000000000,2775,7,0,11
109,54,108,10,100,25000000000,1268,5,10,83
110,55,111,100,6,25000000000,1318,3,0,98
111,55,110,6,100,25000001000,1726,3,0,83
112,56,113,100,32,25000000000,3641,6,0,26
113,56,112,32,100,25000000000,3089,5,10,91
114,57,115,100,1,25000000000,3370,8,0,38
115,57,114,1,100,25000000000,4665,5,0,91
116,58,117,100,24,24999999000,2763,2,0,53
117,58,116,24,100,25000000000,2333,7,0,10
118,59,119,100,2,25000000000,4406,1,0,47
119,59,118,2,100,25000000000,3466,6,10,31
120,60,121,101,10,25000000000,4161,5,0,29
121,60,120,10,101,25000000000,1800,6,100,71
122,61,123,101,10,25000000000,1578,9,0,77
123,61,122,10,101,25000000000,1888,1,0,56
124,62,125,101,25,24999999000,2571,8,0,17
125,62,124,25,101,24999999000,2408,5,0,10
126,63,127,101,8,25000000000,4416,3,0,18
127,63,126,8,101,25000000000,3605,7,1000,73
128,64,129,101,8,25000000000,3817,1,1000,62
129,64,128,8,101,25000001000,4878,7,10,37
130,65,131,101,31,24999999000,3529,7,1000,41
131,65,130,31,101,25000000000,4186,5,0,50
132,66,133,101,25,24999999000,4872,2,0,42
133,66,132,25,101,24999999000,3216,5,0,47
134,67,135,101,100,24999999000,4975,9,0,59
135,67,134,100,101,24999999000,3105,8,0,22
136,68,137,101,2,24999999000,3309,7,0,92
137,68,136,2,101,24999999000,2256,4,0,75
138,69,139,101,32,24999999000,3763,5,0,26
139,69,138,32,101,25000000000,2767,5,10,62
140,70,141,102,45,24999999000,2103,3,10,30
141,70,140,45,102,24999999000,3587,7,0,92
142,71,143,102,20,24999998000,1847,7,10,81
143,71,142,20,102,24999998000,2189,5,0,12
144,72,145,102,8,24999999000,3011,7,100,80
145,72,144,8,102,25000000000,4614,5,0,29
146,73,147,102,31,24999999000,1129,6,0,73
147,73,146,31,102,25000000000,2860,4,0,95
148,74,149,102,22,24999999000,3777,1,10,51
149,74,148,22,102,24999999000,2445,1,0,83
150,75,151,102,3,24999999000,3787,5,0,78
151,75,150,3,102,25000000000,2369,9,10,86
