id,edge1,edge2,node1,node2,capacity,is_closed
0,0,1,0,1,50000000000,0
1,2,3,2,1,49999999000,0
2,4,5,2,1,50000000000,0
3,6,7,3,2,49999998000,0
4,8,9,2,4,49999999000,0
5,10,11,2,5,50000000000,0
6,12,13,2,6,49999998000,0
7,14,15,7,8,50000000000,0
8,16,17,9,10,49999998000,0
9,18,19,9,10,50000000000,0
10,20,21,11,4,50000001000,0
11,22,23,8,12,50000000000,0
12,24,25,10,8,49999999000,0
13,26,27,13,10,49999999000,0
14,28,29,6,4,49999999000,0
15,30,31,14,15,50000001000,0
16,32,33,16,15,50000000000,0
17,34,35,2,17,49999997000,0
18,36,37,16,18,49999998000,0
19,38,39,2,19,50000000000,0
20,40,41,20,21,50000000000,0
21,42,43,22,23,49999999000,0
22,44,45,16,24,50000000000,0
23,46,47,3,25,49999999000,0
24,48,49,26,10,49999999000,0
25,50,51,27,28,49999999000,0
26,52,53,29,8,49999999000,0
27,54,55,27,25,50000000000,0
28,56,57,30,22,49999999000,0
29,58,59,3,31,49999999000,0
30,60,61,8,32,49999999000,0
31,62,63,10,32,50000001000,0
32,64,65,3,32,49999998000,0
33,66,67,24,32,49999999000,0
34,68,69,33,32,49999999000,0
35,70,71,2,34,50000001000,0
36,72,73,24,35,50000000000,0
37,74,75,36,4,50000000000,0
38,76,77,37,33,50000000000,0
39,78,79,38,4,49999999000,0
40,80,81,33,39,50000000000,0
41,82,83,21,40,49999999000,0
42,84,85,41,40,49999998000,0
43,86,87,42,43,49999997000,0
44,88,89,44,40,49999998000,0
45,90,91,8,45,49999998000,0
46,92,93,33,40,49999999000,0
47,94,95,43,39,49999998000,0
48,96,97,22,39,49999998000,0
49,98,99,46,6,50000000000,0
50,100,101,100,45,49999998000,0
51,102,103,100,3,49999998000,0
52,104,105,100,34,50000000000,0
53,106,107,100,1,49999999000,0
54,108,109,100,10,50000000000,0
55,110,111,100,6,50000001000,0
56,112,113,100,32,50000000000,0
57,114,115,100,1,50000000000,0
58,116,117,100,24,49999999000,0
59,118,119,100,2,50000000000,0
60,120,121,101,10,50000000000,0
61,122,123,101,10,50000000000,0
62,124,125,101,25,49999998000,0
63,126,127,101,8,50000000000,0
64,128,129,101,8,50000001000,0
65,130,131,101,31,49999999000,0
66,132,133,101,25,49999998000,0
67,134,135,101,100,49999998000,0
68,136,137,101,2,49999998000,0
69,138,139,101,32,49999999000,0
70,140,141,102,45,49999998000,0
